TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?
39628329434743689,194.6797660750242,23.087526055706757,3.3745,QSO,,,,46.142086618638515,true
39628329443133889,195.29786394170048,23.10375377100106,2.1870000000000003,QSO,0.20327906638671855,0.008760892379747018,4.913207001919031E-5,45.723624060429046,true
39628329678016165,210.57310223841097,22.92502549280446,0.7328,GALAXY,,,,44.09672449883695,true
39628330315548624,251.67219435461251,22.879195093609233,1.7528,GALAXY,,,,45.61059117681659,true
39628340801309586,210.91889312168564,23.580485773124387,1.0049,QSO,,,,45.110901951416054,true
39628346081936841,193.9913925336701,23.84899287147942,0.9756,QSO,0.668676776204018,0.0,2.3408799411966664E-5,45.43333113235507,true
39628346107101669,195.56682037644785,23.75583444315969,3.07795,QSO,0.232904441446538,0.0,8.243013844034051E-5,46.7760258466514,true
39628346312627245,209.16797728411404,23.753114063141123,2.86135,QSO,0.20869533627107328,0.0035868229113416943,3.3844659580042856E-5,46.290524302276786,true
39628346341986142,210.99164257536202,23.6267371558958,-0.002,STAR,,,,38.99740151142691,true
39628351626808343,194.93561807582145,24.118994578497226,2.15065,QSO,0.4350732153569239,0.017127868249057862,2.3306772611848048E-5,46.21983471267535,true
39628351647777294,196.13943596727063,24.10001426737914,1.3402,QSO,,,,45.658465570907694,true
39628351882658716,211.46106466547263,23.925761426182365,2.35575,QSO,0.29288350387343165,0.008257059353667797,2.764334337521138E-5,45.76791948302974,true
39628357150708334,195.0182010890854,24.35245342103703,2.1258,QSO,-0.18536138624112564,0.0,5.655139692009509E-4,46.44695132707748,true
39628357993760615,249.86469880934425,24.145719424624172,1.1408,QSO,0.07226604729893427,0.006352190204193137,2.9323433838130527E-5,44.76580312146375,true
39628368135589778,193.40536003760243,24.637846554940754,1.6926,GALAXY,,,,45.25452103049139,true
39628368181727192,196.43918796142694,24.625835474163843,1.41305,QSO,0.43114034967150294,0.0,1.5747568615123414E-5,45.21062636762361,true
39628373638515423,194.20786283922982,25.1208222217004,0.8188,QSO,,,,45.0519880369659,true
39628379133051738,195.22404045370678,25.21626646830242,1.75285,QSO,0.28930708495603175,0.0,3.717942807190386E-5,45.638261605101285,true
39628379145637914,196.26523931296205,25.143506162145663,0.6887,QSO,0.6907264471767534,0.0,1.7274972020818454E-5,44.65645983637573,true
39628390034048464,193.91925225569312,25.777779056037936,1.8875,QSO,0.28125435864105586,0.006753752595155864,4.497868474266608E-5,46.07793428478811,true
39628400909880822,194.08917969350827,26.18109400454845,2.1318,QSO,0.22346328518777692,0.04303404913266668,4.958973353981888E-5,45.61842826633591,true
39628400922460766,194.7790254874191,26.139851859776204,2.8876,QSO,0.33312040478555205,0.007146110964778005,2.9601527051604332E-5,46.81111778286693,true
39628411542443499,180.81843624465543,26.804035538040427,-0.002,STAR,,,,38.396388075646485,true
39628411760543866,195.2235880572711,26.777721717323207,0.8151,QSO,,,,44.53119371409143,true
39628417141835734,194.1290739855745,27.019092209650182,1.04445,GALAXY,,,,44.86908526555246,true
39628417171195018,196.01614489826386,27.037678734293014,2.763,QSO,,,,47.01260849170439,true
39628422309218104,179.53700751289395,27.207404027688522,1.1506,QSO,0.08223972250492206,0.0,2.5021249236478437E-5,45.27195825182579,true
39628422317608368,180.1856630182922,27.199097448461536,0.9169,QSO,,,,44.54706787614778,true
39628422527325220,194.30815900880125,27.3469124067497,1.95465,QSO,0.2848455903310434,0.026785895103847445,8.405145467982953E-5,45.67029780164002,true
39628422548295851,195.69092965847472,27.266625299715106,2.0875,QSO,0.31368450977896356,0.05940678489199744,4.2688562456330285E-5,45.62304222238625,true
39628422556684909,196.27061728219041,27.154732444897945,1.5925,QSO,0.3826037788043768,0.0,2.8263098602016777E-5,45.31618738690373,true
39628422573462669,197.3968046937487,27.321467620802718,-0.002,STAR,,,,38.952644355349115,true
39628427682123766,179.67473706617648,27.437287103134153,0.5401,QSO,0.8224985140448204,0.007153811280026773,1.9612774525194094E-5,44.97189816954906,true
