ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
15.524589,0.199109,J010205.90+001156.7,17.701,17.221,17.126,17.038,16.923,15.956,15.397,14.632,13.495,12.477,9.594,7.091,56.32,67.35,26.70,37.17,0.726,QSO,9926.9,B,0.077
15.609651,-0.651255,J010226.31-003904.5,16.19,16.114,16.079,16.212,15.811,15.134,14.39,13.409,11.728,10.668,7.965,5.693,0.0,0.0,0.00,0.00,0.294,QSO,2259.5,Alp,-0.216
15.928074,0.427024,J010342.73+002537.2,17.581,17.3,17.211,17.098,16.793,15.917,15.052,14.057,12.347,11.398,9.149,6.679,0.0,0.0,0.00,0.00,0.394,QSO,2676.9,Alp,0.179
15.968612,0.627728,J010352.46+003739.8,18.31,17.641,17.391,17.2,17.018,16.181,15.44,14.084,11.971,10.688,7.821,5.397,2.39,2.22,1.31,1.23,0.703,QSO,5077.6,B,0.147
17.412572,0.997326,J010939.01+005950.3,18.074,17.212,16.636,16.17,15.976,15.369,14.677,14.136,13.136,12.397,9.044,6.306,1.3,1.19,0.69,0.85,0.093,QSO,3222.2,Alp-gal,-0.159
18.228862,0.053622,J011254.92+000313.0,17.293,17.352,17.336,17.106,17.135,16.111,15.366,14.504,13.22,12.238,9.738,7.574,0.0,0.0,0.00,0.00,0.238,QSO,4067.2,Alp,-0.117
19.264950,0.007611,J011703.58+000027.3,16.856,15.85,15.223,14.819,14.673,14.253,13.496,12.859,11.62,10.981,8.101,5.766,1.18,1.02,0.00,0.00,0.046,QSO,2038.9,B-gal,-0.281
20.499230,-1.040097,J012159.81-010224.3,15.907,15.077,14.706,14.307,14.143,14.515,13.716,13.021,10.863,9.911,6.603,3.713,3.86,4.01,1.74,3.02,0.054,QSO,4305.1,Alp,-0.005
21.051943,-1.013837,J012412.46-010049.8,20.658,18.651,17.639,16.967,16.516,15.23,14.782,14.466,13.472,12.762,9.806,7.571,0.0,0.0,0.00,0.00,2.826,QSO,14526.4,B,0.209
21.370166,-0.098878,J012528.83-000555.9,16.829,16.648,16.473,16.559,16.653,15.747,15.095,14.407,13.368,12.018,9.202,6.952,1481.35,1524.09,877.54,1093.10,1.075,QSO,337538.0,B,-0.049
21.512494,-0.139668,J012602.99-000822.8,18.398,18.062,17.89,17.787,17.47,16.294,15.639,14.427,12.803,11.781,9.037,6.624,0.0,0.0,0.00,0.00,0.403,QSO,3885.7,B,0.068
21.760538,1.236781,J012702.52+011412.4,20.344,19.006,17.985,17.494,17.26,15.819,15.262,14.517,13.999,12.992,9.898,6.585,1.06,1.14,0.00,0.00,1.143,redQSO,5402.1,B,0.391
23.575791,0.260192,J013418.18+001536.6,17.008,16.778,16.785,16.746,16.37,15.613,14.769,13.552,11.938,10.937,8.625,6.549,0.0,0.0,0.00,0.00,0.400,QSO,7249.6,B,-0.073
24.539745,-1.155643,J013809.53-010920.3,16.779,16.702,16.581,16.699,16.378,15.412,14.337,13.141,11.866,10.804,8.149,6.006,0.0,0.0,0.00,0.00,0.273,QSO,14887.7,B,-0.087
